,city,Max Temp ,Humidity (%),Cloudiness (%),Wind Speed (mph),latitude,longtitude,Date
0,Punta Arenas,57.2,44,32,12.75,-53.16,-70.91,01/03/2020
1,Banda Aceh,73.85,84,2,5.37,5.56,95.32,01/03/2020
2,Dalmeny,23.0,79,90,6.93,52.34,-106.77,01/03/2020
3,Tchollire,74.48,21,0,4.14,8.4,14.17,01/03/2020
4,Butaritari,82.8,80,100,12.28,3.07,172.79,01/03/2020
5,Mahebourg,78.8,88,40,7.27,-20.41,57.7,01/03/2020
6,Botou,32.34,42,100,2.48,38.08,116.55,01/03/2020
7,Laguna,86.0,66,20,4.7,16.17,-88.94,01/03/2020
8,Albany,48.0,79,90,6.93,42.65,-73.75,01/03/2020
9,Rikitea,78.39,80,100,8.79,-23.12,-134.97,01/03/2020
10,Isangel,69.8,83,25,2.24,-19.55,169.27,01/03/2020
11,Bandarbeyla,78.26,80,39,16.93,9.49,50.81,01/03/2020
12,Tecoanapa,87.8,52,75,4.7,16.99,-99.26,01/03/2020
13,Busselton,46.0,47,0,11.3,-33.64,115.35,01/03/2020
14,Fallon,33.01,53,1,14.99,46.84,-105.12,01/03/2020
15,Leningradskiy,-8.79,77,10,13.71,69.38,178.42,01/03/2020
16,Rudnogorsk,25.36,90,100,11.32,57.27,103.75,01/03/2020
17,Zhigansk,-29.43,92,47,12.12,66.77,123.37,01/03/2020
18,Hasaki,33.8,66,20,3.36,35.73,140.83,01/03/2020
19,Kalmunai,81.84,79,0,8.28,7.42,81.82,01/03/2020
20,Bluff,68.32,84,12,9.22,-23.58,149.07,01/03/2020
21,Carnarvon,81.79,16,0,9.86,-30.97,22.13,01/03/2020
22,Faanui,81.34,79,88,14.94,-16.48,-151.75,01/03/2020
23,New Norfolk,62.6,67,99,10.29,-42.78,147.06,01/03/2020
24,Salalah,77.0,61,20,4.7,17.01,54.1,01/03/2020
25,Tual,83.14,77,100,13.47,-5.67,132.75,01/03/2020
26,Castro,71.6,64,75,16.11,-42.48,-73.76,01/03/2020
27,Faurei,30.2,74,5,5.82,45.08,27.27,01/03/2020
28,La Maddalena,53.6,81,75,5.82,39.15,9.02,01/03/2020
29,Cherskiy,1.36,65,9,11.05,68.75,161.3,01/03/2020
30,Pervomayskoye,25.16,91,99,13.82,57.07,86.23,01/03/2020
